Open,High,Low,Close,Volume
673.51,674.8,662.2,667.43,177934.085
665.58,674.0,657.26,673.51,176645.056
652.0,667.74,648.01,665.58,127272.158
650.82,656.39,646.49,652.0,72300.314
642.71,653.81,639.69,650.82,90666.37
633.33,651.51,629.38,642.7,169535.957
663.24,670.92,625.44,633.32,271543.149
661.6,671.76,660.84,663.23,124473.802
665.93,673.43,657.11,661.59,158377.459
660.77,667.0,650.05,665.93,143785.605
658.01,662.48,647.58,660.77,131807.448
655.36,661.42,645.04,658.01,158379.39
675.02,678.5,653.22,655.36,218723.509
686.89,691.24,673.33,675.02,260985.136
686.9,689.22,680.04,686.89,211875.743
674.3,697.73,666.56,686.91,326163.491
669.45,678.33,668.22,674.29,180148.252
668.0,671.67,657.1,669.44,169208.322
656.99,677.47,655.4,668.01,165142.039
686.57,691.35,652.19,656.98,343668.707
673.31,690.02,673.0,686.57,390007.996
650.0,678.0,648.49,673.31,470531.895
649.62,653.75,640.14,650.0,169584.291
651.54,653.53,633.51,649.62,210901.52
639.5,655.19,634.39,651.53,189475.296
646.76,646.9,635.05,639.51,141777.711
651.88,659.97,644.0,646.76,200793.607
652.47,661.0,642.29,651.88,313560.813
664.12,667.33,647.15,652.47,290029.994
660.08,672.0,640.66,664.13,416309.75
651.15,693.0,647.31,660.07,586386.945
663.9,668.49,647.83,651.15,319998.959
666.29,678.95,648.83,663.9,444595.43
629.17,671.15,623.12,666.29,480734.869
602.7,629.33,600.8,629.17,384267.525
602.57,609.07,597.89,602.7,194088.591
597.61,603.18,593.23,602.57,214613.107
586.02,599.98,583.55,597.61,201100.589
599.36,600.49,584.7,586.03,143960.835
600.69,601.2,595.23,599.36,100770.294
599.64,603.61,595.12,600.69,141344.865
599.88,605.28,598.14,599.63,156229.229
601.0,604.44,591.42,599.88,210580.664
606.16,610.75,598.1,601.0,236809.997
603.46,608.27,598.2,606.16,143778.008
607.23,608.68,597.0,603.46,121784.476
599.9,609.25,599.34,607.23,137533.142
601.56,610.35,597.2,599.91,257426.554
605.72,606.78,592.59,601.55,204214.28
618.5,619.99,601.38,605.71,314125.448
597.32,619.9,595.0,618.51,285468.164
592.77,608.52,592.53,597.34,171926.422
591.74,595.23,587.5,592.77,115343.598
591.7,594.49,587.7,591.73,96609.003
590.5,596.08,587.08,591.71,191575.748
582.8,592.97,581.0,590.49,151848.259
579.52,587.0,576.0,582.8,174537.948
584.53,590.84,579.38,579.52,141640.579
584.29,593.1,583.14,584.54,153827.795
597.3,598.67,580.32,584.28,144896.285
585.93,600.48,584.0,597.29,151268.708
578.03,590.36,575.7,585.93,174700.72
582.32,583.58,566.17,578.03,369219.863
553.72,585.97,534.3,582.32,378370.127
554.6,566.0,547.64,553.72,212191.86
555.55,567.6,520.0,554.6,727293.86
593.13,593.78,544.17,555.54,332256.265
597.71,599.0,588.71,593.13,85938.079
592.68,600.0,585.0,597.71,177145.405
590.67,610.58,578.46,592.67,507928.514
611.12,614.0,584.85,590.68,399507.957
604.81,618.54,604.46,611.13,565603.069
602.2,608.89,587.26,604.81,254764.269
603.0,613.37,593.58,602.2,195649.405
619.81,623.84,596.97,602.99,254422.261
637.36,637.51,616.0,619.81,317817.16
618.0,642.5,617.2,637.36,743401.847
629.82,634.01,615.3,617.99,222093.835
637.08,644.88,627.05,629.82,554571.557
623.8,639.5,618.0,637.08,307575.991
627.01,629.14,619.5,623.79,155602.578
635.16,636.1,623.79,627.01,140206.083
630.47,637.8,624.92,635.17,262205.569
618.71,637.75,616.55,630.47,578472.125
627.81,628.2,604.36,618.7,399993.645
631.68,643.33,620.28,627.81,443437.833
602.21,643.72,602.04,631.69,591668.184
619.82,622.8,593.06,602.2,255774.316
587.76,619.96,587.49,619.83,254324.009
579.8,589.81,576.61,587.76,213012.082
569.87,613.71,567.99,579.8,647497.028
551.61,574.95,544.63,569.87,367224.211
531.49,566.0,507.0,551.61,691870.521
554.65,573.4,523.01,531.49,410154.62
593.1,593.1,550.2,554.65,246382.904
594.77,602.77,590.11,593.1,117220.631
596.49,610.2,577.23,594.77,289363.933
598.25,612.9,589.2,596.5,223701.39
584.01,606.06,580.57,598.24,206205.988
576.09,588.75,546.83,584.01,488869.851
623.94,624.36,567.5,576.1,497949.879
607.94,635.01,601.5,623.94,469069.23
588.07,609.48,586.4,607.93,292254.356
605.41,606.33,559.71,588.07,600999.319
611.57,619.77,595.84,605.41,295518.116
623.49,632.14,594.07,611.57,428035.431
614.19,628.7,586.0,623.49,647434.612
