Open,High,Low,Close,Volume
165.12,168.36,159.21,160.97,4019424.999
161.16,165.67,156.32,165.12,3589559.163
152.45,161.73,149.58,161.16,3079728.265
150.07,155.3,147.88,152.45,1564000.366
147.82,152.84,146.84,150.06,1408204.615
144.28,152.39,144.11,147.83,2167791.114
153.27,154.61,141.53,144.29,4258041.075
155.19,157.97,152.94,153.26,1990646.424
156.83,163.64,154.14,155.19,2849585.145
157.68,158.93,151.67,156.83,2502052.191
156.45,157.92,150.59,157.68,2042131.041
156.2,158.01,152.14,156.45,2352257.752
166.71,167.51,155.22,156.2,3770279.512
172.22,175.34,165.96,166.71,2641789.968
176.72,177.45,168.92,172.21,2534660.877
174.92,179.41,171.24,176.71,2568509.368
175.75,179.02,173.48,174.91,2214724.796
175.87,176.88,169.14,175.74,2530363.859
174.0,178.33,172.5,175.87,2317965.021
179.68,187.71,173.23,174.01,6112910.776
173.54,180.87,172.59,179.68,3608222.862
168.59,175.99,165.51,173.53,4400610.4
166.87,173.11,164.51,168.59,3135420.426
173.3,173.94,159.44,166.86,4076352.744
165.94,176.77,164.54,173.3,3194610.936
167.4,169.99,164.01,165.94,2262121.706
169.16,174.21,166.36,167.4,2766386.671
176.63,178.33,166.7,169.16,3546037.724
183.75,184.88,173.23,176.64,3619155.253
174.22,184.83,166.18,183.75,4587043.398
173.2,181.46,168.31,174.22,6245732.977
177.89,180.26,169.35,173.19,3210729.52
172.77,178.98,168.72,177.89,3339701.179
164.46,176.15,161.07,172.78,6318574.649
147.32,164.6,147.08,164.46,6040622.618
146.89,149.54,144.68,147.32,2440566.284
146.72,147.23,141.41,146.88,2352310.935
143.94,147.73,142.5,146.72,2030995.801
146.71,147.81,143.5,143.95,1613358.553
148.04,149.05,145.82,146.71,1406583.56
150.85,151.91,147.3,148.05,2216263.073
147.54,153.99,147.54,150.85,3037281.454
146.3,148.67,140.32,147.54,2780816.363
147.84,150.39,145.0,146.31,2498992.492
147.97,153.4,144.63,147.84,3507950.445
149.22,150.41,145.51,147.98,1599977.891
150.82,153.17,147.75,149.21,1766805.88
152.55,157.0,149.87,150.82,4226767.973
151.1,152.9,144.87,152.55,3535860.484
148.78,154.21,147.13,151.1,4801378.47
136.57,150.23,134.68,148.79,5078409.536
137.86,143.25,133.82,136.56,4657400.503
139.86,141.96,135.64,137.86,3498098.615
134.05,140.5,133.58,139.87,2816038.068
134.84,136.02,132.47,134.04,2556341.874
131.33,136.2,129.5,134.83,3817459.718
126.1,133.91,123.49,131.33,5320768.994
129.41,134.45,125.82,126.11,3431482.497
128.38,136.13,127.98,129.42,4150251.45
132.24,133.96,125.32,128.38,4054370.603
121.41,134.11,119.41,132.24,4620265.855
112.8,122.65,112.16,121.41,4344066.889
119.05,119.3,108.21,112.81,5566324.629
105.4,121.0,101.26,119.05,9334586.139
106.98,112.58,102.96,105.4,5839129.782
105.9,113.0,95.26,106.99,12630664.993
120.33,121.13,103.81,105.91,4934346.985
122.8,122.85,117.15,120.32,1784381.3
117.17,124.0,113.25,122.79,5721072.32
117.42,120.94,112.24,117.17,5854867.278
126.68,136.21,117.0,117.42,6288908.68
124.53,130.55,123.74,126.67,3554277.848
124.83,127.81,122.75,124.54,3730628.853
124.58,127.08,123.0,124.82,1743775.296
129.5,130.54,122.68,124.58,2610065.515
138.44,139.05,127.69,129.49,3892191.365
137.35,140.22,135.63,138.43,2466162.683
143.64,145.49,135.89,137.34,3099523.287
141.01,147.48,138.17,143.64,3529958.67
132.85,144.96,132.04,141.01,4554131.645
128.5,134.06,128.21,132.84,1763485.986
128.47,131.84,127.8,128.51,1498168.196
127.6,130.18,124.81,128.48,2400422.348
135.33,136.12,126.65,127.6,2593287.986
125.33,136.08,124.2,135.33,4170497.991
128.01,128.19,121.76,125.33,3181789.699
126.13,130.64,125.55,128.01,2707611.094
135.86,136.71,125.21,126.13,2764260.892
133.53,136.53,132.44,135.86,1918077.49
123.36,136.03,122.98,133.54,3607725.492
126.61,128.76,120.76,123.37,2824584.961
125.35,131.33,121.22,126.62,4410502.14
118.32,128.43,112.0,125.35,6435277.863
126.52,131.57,115.47,118.32,6654109.331
137.01,139.88,125.41,126.51,3909495.652
139.39,141.09,135.29,137.01,2135751.393
143.3,150.88,135.04,139.39,7267412.771
146.27,152.9,142.44,143.31,4451879.661
144.8,149.73,140.18,146.28,4895520.585
142.16,147.0,130.66,144.79,10389598.334
178.72,179.47,139.21,142.16,11096202.04
